P(mmHg),P0,p/p0,Volume @ STP,cc/g,L(mmol/g),,,des P,des P0,des p/p0,des Volume @ STP,des cc/g,des L(mmol/g),
21.5767,760,0.028390395,4.22777,25.00159669,1.116142709,14.62146949,,753.524,760,0.991478947,12.0611,71.32525133,3.184163006,41.71253538
37.2387,760,0.048998289,6.08539,35.98693081,1.606559411,21.04592829,,720.179,760,0.947603947,12.0374,71.18509758,3.177906142,41.63057046
52.6609,760,0.069290658,7.23046,42.7584861,1.908860987,25.00607893,,646.247,760,0.850325,11.9573,70.71141336,3.156759525,41.35354978
60.6529,760,0.079806447,7.70481,45.56363099,2.034090669,26.64658777,,570.614,760,0.750807895,11.8616,70.14547605,3.131494467,41.02257751
76.1689,760,0.100222237,8.36104,49.44435245,2.207337163,28.91611684,,494.592,760,0.650778947,11.7447,69.45416913,3.10063255,40.61828641
114.151,760,0.150198684,9.32888,55.16782969,2.46284954,32.26332897,,418.91,760,0.551197368,11.6011,68.60496747,3.062721762,40.12165509
150.693,760,0.198280263,9.8735,58.3885275,2.606630692,34.14686206,,343.404,760,0.451847368,11.4163,67.512123,3.013934063,39.48253622
190.837,760,0.251101316,10.2823,60.80603193,2.714554997,35.56067046,,264.861,760,0.348501316,11.1446,65.90538143,2.942204528,38.54287932
227.969,760,0.299959211,10.5566,62.42814902,2.786970939,36.5093193,,190.788,760,0.251036842,10.7405,63.5156712,2.835521036,37.14532557
267.078,760,0.351418421,10.7831,63.76759314,2.846767551,37.29265492,,114.216,760,0.150284211,9.90889,58.59781195,2.615973748,34.26925609
305.764,760,0.402321053,10.9816,64.94145476,2.899172088,37.97915435,,75.7756,760,0.099704737,9.00825,53.2717327,2.378202353,31.15445082
341.296,760,0.449073684,11.117,65.7421644,2.934918054,38.4474265,,39.4684,760,0.051932105,7.19327,42.53855707,1.899042726,24.87745971
379.498,760,0.499339474,11.2441,66.49379066,2.968472797,38.88699364,,,,,,,,
417.867,760,0.549825,11.3568,67.1602602,2.998225902,39.27675931,,,,,,,,
456.118,760,0.600155263,11.4584,67.76108811,3.025048576,39.62813635,,,,,,,,
494.379,760,0.650498684,11.5503,68.30455352,3.049310425,39.94596657,,,,,,,,
532.553,760,0.700727632,11.635,68.80544057,3.071671454,40.23889605,,,,,,,,
570.734,760,0.750965789,11.7144,69.27498522,3.092633269,40.51349582,,,,,,,,
608.828,760,0.801089474,11.7888,69.71496156,3.11227507,40.77080341,,,,,,,,
646.88,760,0.851157895,11.8616,70.14547605,3.131494467,41.02257751,,,,,,,,
685.059,760,0.901393421,11.9296,70.54760497,3.14944665,41.25775112,,,,,,,,
723.126,760,0.951481579,11.993,70.92253105,3.166184422,41.47701592,,,,,,,,
757.524,760,0.996742105,12.0489,71.25310467,3.180942173,41.67034246,,,,,,,,
