P(bar),PercentMass
0.00508475,2.60417
0.00847458,3.02083
0.0118644,3.4375
0.0152542,3.85417
0.0186441,4.27083
0.0220339,4.89583
0.0254237,5.52083
0.0288136,5.9375
0.0322034,6.5625
0.0355932,6.97917
0.0389831,7.60417
0.0423729,8.22917
0.0457627,8.64583
0.0491525,9.27083
0.0525424,9.6875
0.0559322,10.1042
0.059322,10.5208
0.0627119,10.7292
0.0661017,11.1458
0.0694915,11.5625
0.0728814,11.9792
0.0762712,12.1875
0.079661,12.6042
0.0830508,13.0208
0.0864407,13.4375
0.0898305,13.8542
0.0932203,14.0625
0.0966102,14.4792
0.1,14.6875
0.10339,15.1042
0.10678,15.3125
0.110169,15.5208
0.113559,15.7292
0.116949,15.9375
0.120339,16.1458
0.123729,16.3542
0.127119,16.7708
0.130508,16.9792
0.133898,17.1875
0.137288,17.3958
0.140678,17.6042
0.144068,17.8125
0.147458,18.2292
0.150847,18.4375
0.154237,18.6458
0.157627,18.8542
0.161017,19.0625
0.164407,19.4792
0.167797,19.8958
0.171186,20.1042
0.174576,20.3125
0.177966,20.5208
0.181356,20.9375
0.184746,21.1458
0.188136,21.5625
0.191525,21.7708
0.194915,21.9792
0.198305,22.1875
0.201695,22.3958
0.232203,23.6458
0.235593,23.6458
0.238983,23.8542
0.242373,24.0625
0.245763,24.2708
0.249153,24.4792
0.252542,24.4792
0.255932,24.6875
0.259322,24.8958
0.262712,25.3125
0.266102,25.3125
0.269492,25.5208
0.272881,25.7292
0.276271,25.9375
0.279661,26.1458
0.283051,26.3542
0.286441,26.5625
0.289831,26.7708
0.29322,26.7708
0.29661,26.9792
0.3,27.1875
0.30339,27.3958
0.30678,27.6042
0.310169,27.8125
0.313559,27.8125
0.316949,28.0208
0.320339,28.2292
0.323729,28.2292
0.327119,28.4375
0.330508,28.6458
0.333898,28.8542
0.337288,28.8542
0.340678,29.0625
0.344068,29.0625
0.347458,29.2708
0.350847,29.4792
0.354237,29.6875
0.357627,29.6875
0.361017,29.8958
0.364407,30.1042
0.367797,30.1042
0.371186,30.3125
0.374576,30.5208
0.377966,30.7292
0.381356,30.7292
0.384746,30.9375
0.388136,31.1458
0.391525,31.1458
0.394915,31.3542
0.398305,31.5625
0.401695,31.5625
0.405085,31.7708
0.408475,31.9792
0.411864,31.9792
0.415254,32.1875
0.418644,32.3958
0.422034,32.3958
0.425424,32.6042
0.428814,32.6042
0.432203,32.8125
0.435593,33.0208
0.438983,33.0208
0.442373,33.2292
0.445763,33.2292
0.449153,33.4375
0.452542,33.6458
0.455932,33.6458
0.459322,33.8542
0.462712,33.8542
0.466102,34.0625
0.469492,34.2708
0.472881,34.2708
0.476271,34.4792
0.479661,34.4792
0.483051,34.6875
0.486441,34.6875
0.489831,34.8958
0.49322,35.1042
0.49661,35.1042
0.5,35.3125
0.50339,35.5208
0.50678,35.5208
0.510169,35.7292
0.513559,35.7292
0.516949,35.9375
0.520339,35.9375
0.523729,36.1458
0.527119,36.1458
0.530508,36.3542
0.533898,36.3542
0.537288,36.5625
0.540678,36.5625
0.544068,36.7708
0.547458,36.7708
0.550847,36.9792
0.554237,36.9792
0.557627,37.1875
0.561017,37.1875
0.564407,37.3958
0.567797,37.6042
0.571186,37.6042
0.574576,37.6042
0.577966,37.8125
0.581356,37.8125
0.584746,38.0208
0.588136,38.0208
0.591525,38.2292
0.594915,38.2292
0.598305,38.4375
0.601695,38.6458
0.605085,38.6458
0.608475,38.6458
0.611864,38.8542
0.615254,38.8542
0.618644,39.0625
0.622034,39.0625
0.625424,39.2708
0.628814,39.2708
0.632203,39.4792
0.635593,39.4792
0.638983,39.6875
0.642373,39.6875
0.645763,39.8958
0.649153,39.8958
0.652542,40.1042
0.655932,40.1042
0.659322,40.1042
0.662712,40.3125
0.666102,40.3125
0.669492,40.5208
0.672881,40.5208
0.676271,40.7292
0.679661,40.7292
0.683051,40.9375
0.686441,40.9375
0.689831,40.9375
0.69322,41.1458
0.69661,41.1458
0.7,41.3542
0.70339,41.3542
0.70678,41.5625
0.710169,41.5625
0.713559,41.7708
0.716949,41.7708
0.720339,41.9792
0.723729,41.9792
0.727119,41.9792
0.730508,42.1875
0.733898,42.1875
0.737288,42.3958
0.740678,42.3958
0.744068,42.3958
0.747458,42.6042
0.750847,42.6042
0.754237,42.8125
0.757627,42.8125
0.761017,42.8125
0.764407,43.0208
0.767797,43.0208
0.771186,43.2292
0.774576,43.2292
0.777966,43.2292
0.781356,43.4375
0.784746,43.4375
0.788136,43.6458
0.791525,43.6458
0.794915,43.6458
0.798305,43.8542
0.801695,43.8542
0.805085,44.0625
0.808475,44.0625
0.811864,44.0625
0.815254,44.2708
0.818644,44.2708
0.822034,44.4792
0.825424,44.4792
0.828814,44.4792
0.832203,44.6875
0.835593,44.6875
0.838983,44.6875
0.842373,44.8958
0.845763,44.8958
0.849153,45.1042
0.852542,45.1042
0.855932,45.1042
0.859322,45.3125
0.862712,45.3125
0.866102,45.3125
0.869492,45.5208
0.872881,45.5208
0.876271,45.5208
0.879661,45.7292
0.883051,45.7292
0.886441,45.7292
0.889831,45.9375
0.89322,45.9375
0.89661,46.1458
0.9,46.1458
0.90339,46.1458
0.90678,46.3542
0.910169,46.3542
0.913559,46.3542
0.916949,46.5625
0.920339,46.5625
0.923729,46.5625
0.927119,46.7708
0.930508,46.7708
0.933898,46.7708
0.937288,46.9792
0.940678,46.9792
0.944068,47.1875
0.947458,47.1875
0.950847,47.1875
0.954237,47.1875
0.957627,47.3958
0.961017,47.3958
0.964407,47.3958
0.967797,47.6042
0.971186,47.6042
0.974576,47.6042
0.977966,47.8125
0.981356,47.8125
0.984746,47.8125
0.988136,48.0208
0.991525,48.0208
0.994915,48.0208
0.998305,48.2292
1.00169,48.2292
1.00508,48.2292
1.00847,48.4375
1.01186,48.4375
1.01525,48.4375
1.01864,48.6458
1.02203,48.6458
1.02542,48.6458
1.02881,48.8542
