xtal,M_mol_m3,K_inv_bar,ρ_kg_m3
SBMOF-1,2217.006170094958,37.23429381466036,1570.4004025492634
CC3,2630.1959394944056,7.574030707540739,958.584673435922
Ni-MOF-74,8546.375340306608,1.5170103558918018,1194.1202460324182
HKUST-1,2622.0679284302837,2.0408368592641963,879.0956641092741
SBMOF-2,4426.902003913602,3.2665013598010124,1191.9195703331216
Co-formate,4197.345946903416,6.497025840781165,1821.5038956986152
FMOF-Cu,2816.782786726273,0.34520651460169904,1619.1520981876477
MOF-505,11464.179720278924,0.9750389392394049,926.6182387516033
Activated-Carbon,2627.478840622287,2.264928153147069,500.0
COF-103,14191.96756871455,0.16296650130600115,388.73022823161875
